date,rule,hmm
2014-07-14,🌊 震荡市,🌊 震荡市
2014-07-15,🌊 震荡市,🌊 震荡市
2014-07-16,🌊 震荡市,🌊 震荡市
2014-07-17,🌊 震荡市,🌊 震荡市
2014-07-18,🌊 震荡市,🌊 震荡市
2014-07-21,🌊 震荡市,🌊 震荡市
2014-07-22,🌊 震荡市,🌊 震荡市
2014-07-23,🌊 震荡市,🌊 震荡市
2014-07-24,🌊 震荡市,🌊 震荡市
2014-07-25,🌊 震荡市,🌊 震荡市
2014-07-28,🐂 牛市,❓ 转换期
2014-07-29,🐂 牛市,❓ 转换期
2014-07-30,🐂 牛市,❓ 转换期
2014-07-31,🐂 牛市,❓ 转换期
2014-08-01,🐂 牛市,❓ 转换期
2014-08-04,🐂 牛市,❓ 转换期
2014-08-05,🐂 牛市,❓ 转换期
2014-08-06,🐂 牛市,❓ 转换期
2014-08-07,🐂 牛市,❓ 转换期
2014-08-08,🐂 牛市,❓ 转换期
2014-08-11,🐂 牛市,❓ 转换期
2014-08-12,🐂 牛市,❓ 转换期
2014-08-13,🐂 牛市,❓ 转换期
2014-08-14,🐂 牛市,❓ 转换期
2014-08-15,🐂 牛市,❓ 转换期
2014-08-18,🐂 牛市,❓ 转换期
2014-08-19,🐂 牛市,❓ 转换期
2014-08-20,🐂 牛市,❓ 转换期
2014-08-21,🐂 牛市,❓ 转换期
2014-08-22,🐂 牛市,❓ 转换期
2014-08-25,🐂 牛市,❓ 转换期
2014-08-26,🌊 震荡市,🌊 震荡市
2014-08-27,🌊 震荡市,🌊 震荡市
2014-08-28,🌊 震荡市,🌊 震荡市
2014-08-29,🌊 震荡市,🌊 震荡市
2014-09-01,🐂 牛市,❓ 转换期
2014-09-02,🐂 牛市,❓ 转换期
2014-09-03,🐂 牛市,❓ 转换期
2014-09-04,🐂 牛市,❓ 转换期
2014-09-05,🐂 牛市,❓ 转换期
2014-09-09,🐂 牛市,❓ 转换期
2014-09-10,🐂 牛市,❓ 转换期
2014-09-11,🐂 牛市,❓ 转换期
2014-09-12,🐂 牛市,❓ 转换期
2014-09-15,🐂 牛市,❓ 转换期
2014-09-16,🐂 牛市,❓ 转换期
2014-09-17,🐂 牛市,❓ 转换期
2014-09-18,🐂 牛市,❓ 转换期
2014-09-19,🐂 牛市,❓ 转换期
2014-09-22,🌊 震荡市,🌊 震荡市
2014-09-23,🐂 牛市,❓ 转换期
2014-09-24,🐂 牛市,❓ 转换期
2014-09-25,🐂 牛市,❓ 转换期
2014-09-26,🐂 牛市,❓ 转换期
2014-09-29,🐂 牛市,❓ 转换期
2014-09-30,🐂 牛市,❓ 转换期
2014-10-08,🐂 牛市,❓ 转换期
2014-10-09,🐂 牛市,❓ 转换期
2014-10-10,🐂 牛市,❓ 转换期
2014-10-13,🐂 牛市,❓ 转换期
2014-10-14,🐂 牛市,❓ 转换期
2014-10-15,🐂 牛市,❓ 转换期
2014-10-16,🌊 震荡市,🌊 震荡市
2014-10-17,🌊 震荡市,🌊 震荡市
2014-10-20,🌊 震荡市,🌊 震荡市
2014-10-21,🌊 震荡市,🌊 震荡市
2014-10-22,🌊 震荡市,🌊 震荡市
2014-10-23,🌊 震荡市,🌊 震荡市
2014-10-24,🌊 震荡市,🌊 震荡市
2014-10-27,🌊 震荡市,🌊 震荡市
2014-10-28,🌊 震荡市,🌊 震荡市
2014-10-29,🌊 震荡市,🌊 震荡市
2014-10-30,🌊 震荡市,🌊 震荡市
2014-10-31,🐂 牛市,❓ 转换期
2014-11-03,🐂 牛市,❓ 转换期
2014-11-04,🐂 牛市,❓ 转换期
2014-11-05,🌊 震荡市,🌊 震荡市
2014-11-06,🐂 牛市,❓ 转换期
2014-11-07,🌊 震荡市,🌊 震荡市
2014-11-10,🐂 牛市,❓ 转换期
2014-11-11,🐂 牛市,❓ 转换期
2014-11-12,🐂 牛市,❓ 转换期
2014-11-13,🐂 牛市,❓ 转换期
2014-11-14,🐂 牛市,❓ 转换期
2014-11-17,🐂 牛市,❓ 转换期
2014-11-18,🌊 震荡市,🌊 震荡市
2014-11-19,🌊 震荡市,🌊 震荡市
2014-11-20,🌊 震荡市,🌊 震荡市
2014-11-21,🐂 牛市,❓ 转换期
2014-11-24,🐂 牛市,❓ 转换期
2014-11-25,🐂 牛市,❓ 转换期
2014-11-26,🐂 牛市,❓ 转换期
2014-11-27,🐂 牛市,❓ 转换期
2014-11-28,🐂 牛市,❓ 转换期
2014-12-01,🐂 牛市,❓ 转换期
2014-12-02,🐂 牛市,❓ 转换期
2014-12-03,🐂 牛市,❓ 转换期
2014-12-04,🐂 牛市 (高波动),❓ 转换期
2014-12-05,🐂 牛市 (高波动),❓ 转换期
2014-12-08,🐂 牛市 (高波动),❓ 转换期
2014-12-09,🐂 牛市 (高波动),❓ 转换期
2014-12-10,🐂 牛市 (高波动),❓ 转换期
2014-12-11,🐂 牛市 (高波动),❓ 转换期
2014-12-12,🐂 牛市 (高波动),❓ 转换期
2014-12-15,🐂 牛市 (高波动),❓ 转换期
2014-12-16,🐂 牛市 (高波动),❓ 转换期
2014-12-17,🐂 牛市 (高波动),❓ 转换期
2014-12-18,🐂 牛市 (高波动),❓ 转换期
2014-12-19,🐂 牛市 (高波动),❓ 转换期
2014-12-22,🐂 牛市 (高波动),❓ 转换期
2014-12-23,🐂 牛市 (高波动),❓ 转换期
2014-12-24,🐂 牛市 (高波动),❓ 转换期
2014-12-25,🐂 牛市 (高波动),❓ 转换期
2014-12-26,🐂 牛市 (高波动),❓ 转换期
2014-12-29,🐂 牛市 (高波动),❓ 转换期
2014-12-30,🐂 牛市 (高波动),❓ 转换期
2014-12-31,🐂 牛市 (高波动),❓ 转换期
2015-01-05,🐂 牛市 (高波动),❓ 转换期
2015-01-06,🐂 牛市 (高波动),❓ 转换期
2015-01-07,🐂 牛市 (高波动),❓ 转换期
2015-01-08,🐂 牛市 (高波动),❓ 转换期
2015-01-09,🐂 牛市 (高波动),❓ 转换期
2015-01-12,🐂 牛市 (高波动),❓ 转换期
2015-01-13,🐂 牛市 (高波动),❓ 转换期
2015-01-14,🐂 牛市 (高波动),❓ 转换期
2015-01-15,🐂 牛市 (高波动),❓ 转换期
2015-01-16,🐂 牛市 (高波动),❓ 转换期
2015-01-19,🐂 牛市 (高波动),❓ 转换期
2015-01-20,🐂 牛市 (高波动),❓ 转换期
2015-01-21,🐂 牛市 (高波动),❓ 转换期
2015-01-22,🐂 牛市 (高波动),❓ 转换期
2015-01-23,🐂 牛市 (高波动),❓ 转换期
2015-01-26,🐂 牛市 (高波动),❓ 转换期
2015-01-27,🐂 牛市 (高波动),❓ 转换期
2015-01-28,🐂 牛市 (高波动),❓ 转换期
2015-01-29,🐂 牛市 (高波动),❓ 转换期
2015-01-30,🐂 牛市 (高波动),❓ 转换期
2015-02-02,🐂 牛市 (高波动),❓ 转换期
2015-02-03,🐂 牛市 (高波动),❓ 转换期
2015-02-04,🐂 牛市 (高波动),❓ 转换期
2015-02-05,🌊 震荡市,🌊 震荡市
2015-02-06,🌊 震荡市,🌊 震荡市
2015-02-09,🌊 震荡市,🌊 震荡市
2015-02-10,🌊 震荡市,🌊 震荡市
2015-02-11,🌊 震荡市,🌊 震荡市
2015-02-12,🌊 震荡市,🌊 震荡市
2015-02-13,🌊 震荡市,🌊 震荡市
2015-02-16,🌊 震荡市,🌊 震荡市
2015-02-17,🌊 震荡市,🌊 震荡市
2015-02-25,🌊 震荡市,🌊 震荡市
2015-02-26,🐂 牛市 (高波动),❓ 转换期
2015-02-27,🐂 牛市 (高波动),❓ 转换期
2015-03-02,🐂 牛市 (高波动),❓ 转换期
2015-03-03,🌊 震荡市,🌊 震荡市
2015-03-04,🌊 震荡市,🌊 震荡市
2015-03-05,🌊 震荡市,🌊 震荡市
2015-03-06,🌊 震荡市,🌊 震荡市
2015-03-09,🌊 震荡市,🌊 震荡市
2015-03-10,🌊 震荡市,🌊 震荡市
2015-03-11,🌊 震荡市,🌊 震荡市
2015-03-12,🌊 震荡市,🌊 震荡市
2015-03-13,🐂 牛市,❓ 转换期
2015-03-16,🐂 牛市,❓ 转换期
2015-03-17,🐂 牛市,❓ 转换期
2015-03-18,🐂 牛市,❓ 转换期
2015-03-19,🐂 牛市,❓ 转换期
2015-03-20,🐂 牛市,❓ 转换期
2015-03-23,🐂 牛市,❓ 转换期
2015-03-24,🐂 牛市,❓ 转换期
2015-03-25,🐂 牛市,❓ 转换期
2015-03-26,🐂 牛市,❓ 转换期
2015-03-27,🐂 牛市,❓ 转换期
2015-03-30,🐂 牛市,❓ 转换期
2015-03-31,🐂 牛市,❓ 转换期
2015-04-01,🐂 牛市,❓ 转换期
2015-04-02,🐂 牛市,❓ 转换期
2015-04-03,🐂 牛市,❓ 转换期
2015-04-07,🐂 牛市,❓ 转换期
2015-04-08,🐂 牛市,❓ 转换期
2015-04-09,🐂 牛市,❓ 转换期
2015-04-10,🐂 牛市,❓ 转换期
2015-04-13,🐂 牛市,❓ 转换期
2015-04-14,🐂 牛市,❓ 转换期
2015-04-15,🐂 牛市,❓ 转换期
2015-04-16,🐂 牛市,❓ 转换期
2015-04-17,🐂 牛市 (高波动),❓ 转换期
2015-04-20,🐂 牛市 (高波动),🐂 牛市
2015-04-21,🐂 牛市 (高波动),🐂 牛市
2015-04-22,🐂 牛市 (高波动),🐂 牛市
2015-04-23,🐂 牛市 (高波动),🐂 牛市
2015-04-24,🐂 牛市 (高波动),🐂 牛市
2015-04-27,🐂 牛市 (高波动),🐂 牛市
2015-04-28,🐂 牛市 (高波动),🐂 牛市
2015-04-29,🐂 牛市 (高波动),🐂 牛市
2015-04-30,🐂 牛市 (高波动),🐂 牛市
2015-05-04,🐂 牛市 (高波动),🐂 牛市
2015-05-05,🐂 牛市 (高波动),🐂 牛市
2015-05-06,🐂 牛市 (高波动),🐂 牛市
2015-05-07,🐂 牛市 (高波动),🐂 牛市
2015-05-08,🐂 牛市 (高波动),🐂 牛市
2015-05-11,🐂 牛市 (高波动),🐂 牛市
2015-05-12,🐂 牛市 (高波动),🐂 牛市
2015-05-13,🐂 牛市 (高波动),🐂 牛市
2015-05-14,🐂 牛市 (高波动),🐂 牛市
2015-05-15,🐂 牛市 (高波动),🐂 牛市
2015-05-18,🐂 牛市 (高波动),🐂 牛市
2015-05-19,🐂 牛市 (高波动),🐂 牛市
2015-05-20,🐂 牛市 (高波动),🐂 牛市
2015-05-21,🐂 牛市 (高波动),🐂 牛市
2015-05-22,🐂 牛市 (高波动),🐂 牛市
2015-05-25,🐂 牛市 (高波动),🐂 牛市
2015-05-26,🐂 牛市 (高波动),🐂 牛市
2015-05-27,🐂 牛市 (高波动),🐂 牛市
2015-05-28,🐂 牛市 (高波动),🐂 牛市
2015-05-29,🐂 牛市 (高波动),🐂 牛市
2015-06-01,🐂 牛市 (高波动),🐂 牛市
2015-06-02,🐂 牛市 (高波动),🐂 牛市
2015-06-03,🐂 牛市 (高波动),🐂 牛市
2015-06-04,🐂 牛市 (高波动),🐂 牛市
2015-06-05,🐂 牛市 (高波动),🐂 牛市
2015-06-08,🐂 牛市 (高波动),🐂 牛市
2015-06-09,🐂 牛市 (高波动),🐂 牛市
2015-06-10,🐂 牛市 (高波动),🐂 牛市
2015-06-11,🐂 牛市 (高波动),🐂 牛市
2015-06-12,🐂 牛市 (高波动),🐂 牛市
2015-06-15,🐂 牛市 (高波动),🐂 牛市
2015-06-16,🐂 牛市 (高波动),🐂 牛市
2015-06-17,🐂 牛市 (高波动),🐂 牛市
2015-06-18,🐂 牛市 (高波动),🐂 牛市
2015-06-19,🌊 震荡市,🌊 震荡市
2015-06-23,🌊 震荡市,🐂 牛市
2015-06-24,🌊 震荡市,🐂 牛市
2015-06-25,🌊 震荡市,🌊 震荡市
2015-06-26,❓ 转换期,❓ 转换期
2015-06-29,❓ 转换期,❓ 转换期
2015-06-30,❓ 转换期,❓ 转换期
2015-07-01,❓ 转换期,❓ 转换期
2015-07-02,❓ 转换期,❓ 转换期
2015-07-03,❓ 转换期,❓ 转换期
2015-07-06,❓ 转换期,❓ 转换期
2015-07-07,❓ 转换期,❓ 转换期
2015-07-08,🐻 熊市,❓ 转换期
2015-07-09,🐻 熊市,❓ 转换期
2015-07-10,🐻 熊市,❓ 转换期
2015-07-13,🐻 熊市,❓ 转换期
2015-07-14,🐻 熊市,❓ 转换期
2015-07-15,🐻 熊市,❓ 转换期
2015-07-16,🐻 熊市,❓ 转换期
2015-07-17,🐻 熊市,❓ 转换期
2015-07-20,🐻 熊市,❓ 转换期
2015-07-21,🐻 熊市,❓ 转换期
2015-07-22,🐻 熊市,❓ 转换期
2015-07-23,🐻 熊市,❓ 转换期
2015-07-24,🐻 熊市,❓ 转换期
2015-07-27,🐻 熊市,❓ 转换期
2015-07-28,🐻 熊市,❓ 转换期
2015-07-29,🐻 熊市,❓ 转换期
2015-07-30,🐻 熊市,❓ 转换期
2015-07-31,🐻 熊市,❓ 转换期
2015-08-03,🐻 熊市,❓ 转换期
2015-08-04,🐻 熊市,❓ 转换期
2015-08-05,🐻 熊市,❓ 转换期
2015-08-06,🐻 熊市,❓ 转换期
2015-08-07,🐻 熊市,❓ 转换期
2015-08-10,🐻 熊市,❓ 转换期
2015-08-11,🐻 熊市,❓ 转换期
2015-08-12,🐻 熊市,❓ 转换期
2015-08-13,🐻 熊市,❓ 转换期
2015-08-14,🐻 熊市,❓ 转换期
2015-08-17,🐻 熊市,❓ 转换期
2015-08-18,🐻 熊市,❓ 转换期
2015-08-19,🐻 熊市,❓ 转换期
2015-08-20,🐻 熊市,❓ 转换期
2015-08-21,🐻 熊市,❓ 转换期
2015-08-24,🐻 熊市,❓ 转换期
2015-08-25,🐻 熊市,❓ 转换期
2015-08-26,🐻 熊市,❓ 转换期
2015-08-27,🐻 熊市,❓ 转换期
2015-08-28,🐻 熊市,❓ 转换期
2015-08-31,🐻 熊市,❓ 转换期
2015-09-01,🐻 熊市,❓ 转换期
2015-09-02,🐻 熊市,❓ 转换期
2015-09-07,🐻 熊市,❓ 转换期
2015-09-08,🐻 熊市,❓ 转换期
2015-09-09,🐻 熊市,❓ 转换期
2015-09-10,🐻 熊市,❓ 转换期
2015-09-11,🐻 熊市,❓ 转换期
2015-09-14,🐻 熊市,❓ 转换期
2015-09-15,🐻 熊市,❓ 转换期
2015-09-16,🐻 熊市,❓ 转换期
2015-09-17,🐻 熊市,❓ 转换期
2015-09-18,🐻 熊市,❓ 转换期
2015-09-21,🐻 熊市,❓ 转换期
2015-09-22,🐻 熊市,❓ 转换期
2015-09-23,🐻 熊市,❓ 转换期
2015-09-24,🐻 熊市,❓ 转换期
2015-09-25,🐻 熊市,❓ 转换期
2015-09-28,🐻 熊市,❓ 转换期
2015-09-29,🐻 熊市,❓ 转换期
2015-09-30,🐻 熊市,❓ 转换期
2015-10-08,🐻 熊市,❓ 转换期
2015-10-09,🐻 熊市,❓ 转换期
2015-10-12,🐻 熊市,❓ 转换期
2015-10-13,🐻 熊市,❓ 转换期
2015-10-14,🐻 熊市,❓ 转换期
2015-10-15,🌊 震荡市,🌊 震荡市
2015-10-16,🌊 震荡市,🌊 震荡市
2015-10-19,🌊 震荡市,🌊 震荡市
2015-10-20,🌊 震荡市,🌊 震荡市
2015-10-21,🌊 震荡市,🌊 震荡市
2015-10-22,🌊 震荡市,🌊 震荡市
2015-10-23,🌊 震荡市,🌊 震荡市
2015-10-26,🌊 震荡市,🌊 震荡市
2015-10-27,🌊 震荡市,🌊 震荡市
2015-10-28,🌊 震荡市,🌊 震荡市
2015-10-29,🌊 震荡市,🌊 震荡市
2015-10-30,🌊 震荡市,🌊 震荡市
2015-11-02,🌊 震荡市,🌊 震荡市
2015-11-03,🌊 震荡市,🌊 震荡市
2015-11-04,🌊 震荡市,🐂 牛市
2015-11-05,🐂 牛市 (高波动),🐂 牛市
2015-11-06,🐂 牛市 (高波动),🐂 牛市
2015-11-09,🐂 牛市 (高波动),🐂 牛市
2015-11-10,🐂 牛市 (高波动),🐂 牛市
2015-11-11,🐂 牛市 (高波动),🐂 牛市
2015-11-12,🐂 牛市 (高波动),🐂 牛市
2015-11-13,🐂 牛市 (高波动),🐂 牛市
2015-11-16,🐂 牛市 (高波动),🐂 牛市
2015-11-17,🐂 牛市 (高波动),🐂 牛市
2015-11-18,🐂 牛市 (高波动),🐂 牛市
2015-11-19,🐂 牛市 (高波动),🐂 牛市
2015-11-20,🐂 牛市 (高波动),🐂 牛市
2015-11-23,🐂 牛市 (高波动),🐂 牛市
2015-11-24,🐂 牛市 (高波动),🐂 牛市
2015-11-25,🐂 牛市 (高波动),🐂 牛市
2015-11-26,🐂 牛市 (高波动),🐂 牛市
2015-11-27,🌊 震荡市,🐂 牛市
2015-11-30,🌊 震荡市,🐂 牛市
2015-12-01,🌊 震荡市,🐂 牛市
2015-12-02,🐂 牛市 (高波动),🐂 牛市
2015-12-03,🐂 牛市 (高波动),🐂 牛市
2015-12-04,🌊 震荡市,🐂 牛市
2015-12-07,🌊 震荡市,🐂 牛市
2015-12-08,🌊 震荡市,🐂 牛市
2015-12-09,🌊 震荡市,🐂 牛市
2015-12-10,🌊 震荡市,🐂 牛市
2015-12-11,🌊 震荡市,🌊 震荡市
2015-12-14,🌊 震荡市,🐂 牛市
2015-12-15,🌊 震荡市,🐂 牛市
2015-12-16,🌊 震荡市,🐂 牛市
2015-12-17,🌊 震荡市,🐂 牛市
2015-12-18,🌊 震荡市,🐂 牛市
2015-12-21,🐂 牛市 (高波动),🐂 牛市
2015-12-22,🐂 牛市 (高波动),🐂 牛市
2015-12-23,🐂 牛市 (高波动),🐂 牛市
2015-12-24,🌊 震荡市,🐂 牛市
2015-12-25,🌊 震荡市,🐂 牛市
2015-12-28,🌊 震荡市,🌊 震荡市
2015-12-29,🌊 震荡市,🐂 牛市
2015-12-30,🌊 震荡市,🐂 牛市
2015-12-31,🌊 震荡市,🌊 震荡市
2016-01-04,❓ 转换期,❓ 转换期
2016-01-05,❓ 转换期,❓ 转换期
2016-01-06,🌊 震荡市,🌊 震荡市
2016-01-07,❓ 转换期,❓ 转换期
2016-01-08,🐻 熊市,❓ 转换期
2016-01-11,🐻 熊市,❓ 转换期
2016-01-12,🐻 熊市,❓ 转换期
2016-01-13,🐻 熊市,❓ 转换期
2016-01-14,🐻 熊市,❓ 转换期
2016-01-15,🐻 熊市,❓ 转换期
2016-01-18,🐻 熊市,❓ 转换期
2016-01-19,🐻 熊市,❓ 转换期
2016-01-20,🐻 熊市,❓ 转换期
2016-01-21,🐻 熊市,❓ 转换期
2016-01-22,🐻 熊市,❓ 转换期
2016-01-25,🐻 熊市,❓ 转换期
2016-01-26,🐻 熊市,❓ 转换期
2016-01-27,🐻 熊市,❓ 转换期
2016-01-28,🐻 熊市,❓ 转换期
2016-01-29,🐻 熊市,❓ 转换期
2016-02-01,🐻 熊市,❓ 转换期
2016-02-02,🐻 熊市,❓ 转换期
2016-02-03,🐻 熊市,❓ 转换期
2016-02-04,🐻 熊市,❓ 转换期
2016-02-05,🐻 熊市,❓ 转换期
2016-02-15,🐻 熊市,❓ 转换期
2016-02-16,🐻 熊市,❓ 转换期
2016-02-17,🐻 熊市,❓ 转换期
2016-02-18,🐻 熊市,❓ 转换期
2016-02-19,🐻 熊市,❓ 转换期
2016-02-22,🐻 熊市,❓ 转换期
2016-02-23,🐻 熊市,❓ 转换期
2016-02-24,🐻 熊市,❓ 转换期
2016-02-25,🐻 熊市,❓ 转换期
2016-02-26,🐻 熊市,❓ 转换期
2016-02-29,🐻 熊市,❓ 转换期
2016-03-01,🐻 熊市,❓ 转换期
2016-03-02,🐻 熊市,❓ 转换期
2016-03-03,🐻 熊市,❓ 转换期
2016-03-04,🐻 熊市,❓ 转换期
2016-03-07,🐻 熊市,❓ 转换期
2016-03-08,🐻 熊市,❓ 转换期
2016-03-09,🐻 熊市,❓ 转换期
2016-03-10,🐻 熊市,❓ 转换期
2016-03-11,🐻 熊市,❓ 转换期
2016-03-14,🐻 熊市,❓ 转换期
2016-03-15,🐻 熊市,❓ 转换期
2016-03-16,🐻 熊市,❓ 转换期
2016-03-17,🌊 震荡市,🌊 震荡市
2016-03-18,🌊 震荡市,🌊 震荡市
2016-03-21,🌊 震荡市,🌊 震荡市
2016-03-22,🌊 震荡市,🌊 震荡市
2016-03-23,🌊 震荡市,🌊 震荡市
2016-03-24,🌊 震荡市,🌊 震荡市
2016-03-25,🌊 震荡市,🌊 震荡市
2016-03-28,🌊 震荡市,🌊 震荡市
2016-03-29,🌊 震荡市,🌊 震荡市
2016-03-30,🌊 震荡市,🐂 牛市
2016-03-31,🌊 震荡市,🐂 牛市
2016-04-01,🌊 震荡市,🐂 牛市
2016-04-05,🐂 牛市 (高波动),🐂 牛市
2016-04-06,🐂 牛市 (高波动),🐂 牛市
2016-04-07,🌊 震荡市,🐂 牛市
2016-04-08,🌊 震荡市,🐂 牛市
2016-04-11,🐂 牛市,🐂 牛市
2016-04-12,🌊 震荡市,🐂 牛市
2016-04-13,🐂 牛市,🐂 牛市
2016-04-14,🐂 牛市,🐂 牛市
2016-04-15,🐂 牛市,🐂 牛市
2016-04-18,🌊 震荡市,🐂 牛市
2016-04-19,🐂 牛市,🐂 牛市
2016-04-20,🌊 震荡市,🐂 牛市
2016-04-21,🌊 震荡市,🌊 震荡市
2016-04-22,🌊 震荡市,🐂 牛市
2016-04-25,🌊 震荡市,🌊 震荡市
2016-04-26,🌊 震荡市,🐂 牛市
2016-04-27,🌊 震荡市,🌊 震荡市
2016-04-28,🌊 震荡市,🌊 震荡市
2016-04-29,🌊 震荡市,🌊 震荡市
2016-05-03,🌊 震荡市,🐂 牛市
2016-05-04,🌊 震荡市,🐂 牛市
2016-05-05,🌊 震荡市,🐂 牛市
2016-05-06,🌊 震荡市,🌊 震荡市
2016-05-09,🌊 震荡市,🌊 震荡市
2016-05-10,🌊 震荡市,🌊 震荡市
2016-05-11,🌊 震荡市,🌊 震荡市
2016-05-12,🌊 震荡市,🌊 震荡市
2016-05-13,🌊 震荡市,🌊 震荡市
2016-05-16,🌊 震荡市,🌊 震荡市
2016-05-17,🌊 震荡市,🌊 震荡市
2016-05-18,🌊 震荡市,🌊 震荡市
2016-05-19,🌊 震荡市,🌊 震荡市
2016-05-20,🌊 震荡市,🌊 震荡市
2016-05-23,🌊 震荡市,🌊 震荡市
2016-05-24,🌊 震荡市,🌊 震荡市
2016-05-25,🌊 震荡市,🌊 震荡市
